CVE_AGEB,ENT,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,POB_TOTAL,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC,IM_2020,GM_2020,IMN_2020,Mult,Index_Prop,Index_Prop_norm,num_def,Aire,Agua,Suelo,UM_n,aire,agua,suelo,contaminacion_total,aire_total,agua_total,suelo_total,mast_n,mast_norm,Indice_RC,Indice_RC_NORM,Etiquetas_RiesgoC
2402800010929,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0929,9668,4.732739421,26.1573614,20.94594595,0.093886918,0.323388275,1.408303776,2.108999791,10.13978719,57.48278021,5.259862242,28.62507824,120.8912431,Medio,0.944357062,9130.044075416,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43582006106143045,0.12368424021773786,Alto
2402800010952,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,0952,5097,3.73280943,11.5267711,17.0722135,0.0,0.0,0.019758941,0.296559905,0.908911282,15.03164557,5.433708753,3.319502075,124.5424108,Muy bajo,0.972878615,4958.762300654999,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4333675533120496,0.06729732969817993,Medio
2402800011077,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1077,6827,6.338028169,38.85945136,22.87015276,0.175978883,0.337292858,1.349171433,3.196949699,5.865962751,53.43892066,8.058124174,24.63704355,119.6896473,Medio,0.934970646,6383.044600242,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43647867271159957,0.13882673108024385,Alto
2402800011096,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1096,9367,7.28358209,14.24102339,10.32568073,1.391416033,0.203360805,1.016804024,4.259873702,5.428265525,29.84052232,3.136037675,17.99207963,122.5803647,Bajo,0.957551847,8969.388150849,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43479161683251694,0.1000387317683791,Medio
240280001126A,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,126A,2556,2.670623145,14.78129713,19.56777996,0.0,0.041841004,0.460251046,0.167364017,1.882845188,24.51721243,2.845188285,8.242677824,124.1644367,Muy bajo,0.969926023,2479.1309147879997,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43366834929625864,0.07421309020923969,Medio
2402800011293,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1293,4659,7.239819005,19.52246873,21.21930202,0.0,0.043535046,0.021767523,0.239442751,1.784936874,20.87505442,7.945145842,7.357422725,122.636178,Bajo,0.95798784,4463.265346560001,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.4347550776517035,0.0991986400216743,Medio
2402800011344,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1344,5728,8.052884615,19.60739557,22.62569832,0.070015754,0.192543322,1.260283564,2.853141957,4.778575179,27.60371083,6.493961141,11.9026781,121.6759408,Bajo,0.950486826,5444.388539328,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43535947013241216,0.11309454911187644,Alto
2402800011359,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1359,5431,12.68965517,31.87927376,24.70935597,0.258350249,0.110680686,0.811658366,1.291274673,7.365700572,40.60998152,10.02399852,19.83028961,119.2314151,Medio,0.931391109,5058.385112979,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43671718162794865,0.14431041647438278,Alto
2402800011414,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1414,2452,8.536585366,2.726033621,16.62581699,0.0,0.0,0.0,0.082576383,0.124172185,1.200331126,1.531456954,1.490066225,124.8684892,Muy bajo,0.975425818,2391.7441057359997,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43309460965097635,0.061021936767126014,Medio
2402800011433,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,1433,4962,3.164556962,28.16223067,19.09568026,0.040461258,0.121383775,0.465304471,1.193607121,2.569289905,31.60024277,8.618248028,13.17013959,122.3907867,Bajo,0.956070935,4744.02397947,0.00030077028332680994,0.4941282901730967,61.78260869565217,464038204.0326315,759.3623562910526,3400.9920486947367,131.42857142857142,36113.0,7032.0,18200.0,28102.0,28102.0,4392.0,18200.0,1.0,1.0,0.43491434656611694,0.10286047637177113,Medio
